 7 -3.05599842e-03 -5.00045871e-05 -1.78952568e-09
 9 -2.20182227e-04  1.89756091e-03 -9.28070288e-10
11  6.18994190e-04 -5.17152228e-05  1.38825274e-05
13  1.97086942e-03 -1.65574972e-04 -3.06210688e-10
15  8.74457610e-05  2.38075629e-04 -2.25769174e-05
17 -3.66207592e-04  2.46442355e-04 -5.16674498e-10
19 -3.64326166e-04  1.79029573e-04 -2.68321049e-05
21 -1.37339072e-05 -6.62036531e-05  1.30481389e-06
23 -1.23744499e-05 -6.97797506e-05  4.72537985e-05
25  1.50509028e-05  8.87996020e-05 -2.26126790e-05
27  1.39091891e-04  1.03515869e-04 -1.01610609e-06
29  3.64908121e-05  9.83326879e-06 -1.00429224e-05
