      0.00000000E+00       8.94427191E-01       4.00000000E-01       0.00000000E+00       4.00000000E-01
      8.86662956E-02       8.59812463E-01       3.69638735E-01       3.93085599E-03       3.73569591E-01
      1.70687405E-01       7.67369948E-01       2.94428319E-01       1.45670951E-02       3.08995414E-01
      2.41490946E-01       6.43417215E-01       2.06992856E-01       2.91589384E-02       2.36151795E-01
      2.99318663E-01       5.14212339E-01       1.32207165E-01       4.47958309E-02       1.77002996E-01
      3.44629219E-01       3.96475167E-01       7.85962790E-02       5.93846492E-02       1.37980928E-01
      3.79008976E-01       2.96568275E-01       4.39763709E-02       7.18239021E-02       1.15800273E-01
      4.04290965E-01       2.14142263E-01       2.29284543E-02       8.17255921E-02       1.04654046E-01
      4.22087072E-01       1.45970502E-01       1.06536937E-02       8.90787481E-02       9.97324418E-02
      4.33638624E-01       8.83265580E-02       3.90079042E-03       9.40212281E-02       9.79220185E-02
      4.39831569E-01       3.80112053E-02       7.22425866E-04       9.67259047E-02       9.74483305E-02
      4.41268951E-01      -7.39271621E-03       2.73261264E-05       9.73591434E-02       9.73864695E-02
      4.38348607E-01      -4.95845870E-02       1.22931563E-03       9.60747504E-02       9.73040661E-02
      4.31328284E-01      -8.96925719E-02       4.02237873E-03       9.30220444E-02       9.70444231E-02
      4.20375902E-01      -1.28408489E-01       8.24437005E-03       8.83579496E-02       9.66023197E-02
      4.05607983E-01      -1.66085567E-01       1.37922077E-02       8.22589178E-02       9.60511255E-02
      3.87120130E-01      -2.02800264E-01       2.05639735E-02       7.49309974E-02       9.54949709E-02
      3.65012752E-01      -2.38387788E-01       2.84143687E-02       6.66171545E-02       9.50315232E-02
      3.39414100E-01      -2.72463113E-01       3.71180740E-02       5.76009658E-02       9.47190398E-02
      3.10501471E-01      -3.04439829E-01       4.63418046E-02       4.82055818E-02       9.45473864E-02
      2.78520172E-01      -3.33558917E-01       5.56307755E-02       3.87867430E-02       9.44175185E-02
      2.43798700E-01      -3.58937904E-01       6.44182095E-02       2.97189030E-02       9.41371124E-02
      2.06757703E-01      -3.79646467E-01       7.20657200E-02       2.13743740E-02       9.34400940E-02
      1.67910027E-01      -3.94806888E-01       7.79362396E-02       1.40968885E-02       9.20331281E-02
      1.27849792E-01      -4.03707760E-01       8.14899776E-02       8.17278468E-03       8.96627622E-02
